FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
92177,5301061005018,1,362,REGIÓN DE VALPARAÍSO,LOS ANDES,LOS ANDES,CHACABUCO
75061,9101041002024,1,62,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEMUCO,SANTA ELENA
66205,7406031002034,1,40,REGIÓN DEL MAULE,LINARES,SAN JAVIER,JUNTAS VIEJAS
151386,8301171008032,3,361,REGIÓN DEL BIOBÍO,BIOBÍO,LOS ÁNGELES,PAILLIHUE
35260,13132031001007,1,104,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,VITACURA,LO CURRO
130220,2201051001051,1,16,REGIÓN DE ANTOFAGASTA,EL LOA,CALAMA,REGIMIENTO
23522,13122091004009,2,100,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,DIAGONAL LAS TORRES
85589,5101101001002,1,115,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,CERRO LA FLORIDA
31166,13128091003009,1,30,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RENCA,CHUNGARÁ
14769,13114131001005,1,35,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,CERRO SAN LUIS
101022,5801021002045,1,14,REGIÓN DE VALPARAÍSO,MARGA MARGA,QUILPUÉ,BELLOTO SUR
83832,9203021001043,1,19,REGIÓN DE LA ARAUCANÍA,MALLECO,CURACAUTÍN,ESTACIÓN
1694,13101131008001,8,1676,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,ALMAGRO
149154,8203011003025,1,25,REGIÓN DEL BIOBÍO,ARAUCO,CAÑETE,CAÑETE
147383,8112031002033,1,22,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALPÉN,CIUDAD DEL NIÑO
19347,13119101001004,1,32,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,O´HIGGINS
59007,7102031002013,2,514,REGIÓN DEL MAULE,TALCA,CONSTITUCIÓN,ESTACIÓN
12116,13112071005016,1,46,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,VICENTE LLANOS
94434,5501051003016,1,32,REGIÓN DE VALPARAÍSO,QUILLOTA,QUILLOTA,LA TETERA
60865,7301021002059,1,16,REGIÓN DEL MAULE,CURICÓ,CURICÓ,HOSPICIO
134432,16102011001006,2,33,REGIÓN DE ÑUBLE,DIGUILLÍN,BULNES,BULNES
148980,8203011004018,1,85,REGIÓN DEL BIOBÍO,ARAUCO,CAÑETE,CAÑETE
142085,8103011001010,1,365,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,LONCO
11721,13110071003013,1,208,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,CANAL LAS PERDICES
98930,5701031006032,1,112,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,SAN FELIPE,LOS GRANEROS
57095,7101111001039,1,39,REGIÓN DEL MAULE,TALCA,TALCA,HUILQUILEMU
