FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
138824,8102111014022,2,90,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CORONEL,ESCUADRÓN
1762,13101281004002,3,28,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,EJÉRCITO
31512,13128091001901,1,21,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RENCA,CHUNGARÁ
26284,13125041007020,1,32,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,MANUEL ANTONIO MATTA
16774,13117021004010,3,111,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO PRADO,BLANQUEADO
143097,8106011003026,2,21,REGIÓN DEL BIOBÍO,CONCEPCIÓN,LOTA,LOTA ALTO
141042,8103051006008,1,95,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,LA LEONERA
1694,13101131008001,6,1676,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,ALMAGRO
101936,5804031001506,3,388,REGIÓN DE VALPARAÍSO,MARGA MARGA,VILLA ALEMANA,MANUEL MONTT
29095,13126061002007,1,169,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUINTA NORMAL,MERCURIO
146816,8111011002028,2,343,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TOMÉ,EL PUERTO
13179,13112031002053,1,30,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,PABLO DE ROKHA
85785,5101201002001,1,70,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,LAS ZORRAS
69337,10107011003002,1,27,REGIÓN DE LOS LAGOS,LLANQUIHUE,LLANQUIHUE,LLANQUIHUE
29923,13126041002009,1,37,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUINTA NORMAL,VILLA SANA
23516,13122021004005,1,71,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,PEÑALOLÉN
44333,13201021006007,2,157,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,EL PERAL
137845,8307011001039,1,20,REGIÓN DEL BIOBÍO,BIOBÍO,NEGRETE,NEGRETE
30163,13127051001019,1,21,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,SALZBURGO
81109,9201151004008,1,20,REGIÓN DE LA ARAUCANÍA,MALLECO,ANGOL,ESTACIÓN
93707,5501021002015,4,373,REGIÓN DE VALPARAÍSO,QUILLOTA,QUILLOTA,AVENIDA VALPARAÍSO
68363,10101171006002,3,29,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,LA PALOMA
14101,13114031001006,2,371,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,HOSPITAL FACH
57201,7101051001068,1,20,REGIÓN DEL MAULE,TALCA,TALCA,ABATE MOLINA
43328,13201191004020,1,60,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,LAS NIEVES ORIENTE
145641,8110091001040,2,237,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TALCAHUANO,ESTADIO
60849,7301021001047,1,20,REGIÓN DEL MAULE,CURICÓ,CURICÓ,HOSPICIO
113034,14101081005043,2,181,REGIÓN DE LOS RÍOS,VALDIVIA,VALDIVIA,LAS MULATAS
9372,13110021002037,1,12,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,BALNEARIO MUNICIPAL
36698,13401071001020,2,33,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,MAESTRANZA
104745,4101161001035,1,40,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA COMPAÑÍA ALTA
49798,6101091007056,1,73,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,LA GAMBOINA
1909,13101151002006,2,417,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,SAN DIEGO
36997,13401071001009,3,377,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,MAESTRANZA
22479,13120071005011,3,274,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,PLAZA ZAÑARTU
135670,16206011001502,1,47,REGIÓN DE ÑUBLE,ITATA,RÁNQUIL,ÑIPAS
55456,7101111002001,4,40,REGIÓN DEL MAULE,TALCA,TALCA,HUILQUILEMU
18733,13119141001002,1,17,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LAS LOMAS
93710,5501031001009,1,150,REGIÓN DE VALPARAÍSO,QUILLOTA,QUILLOTA,MAYACA
105206,4101161003025,1,15,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA COMPAÑÍA ALTA
42907,13605011003037,1,20,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,PEÑAFLOR,PEÑAFLOR
134040,16106051002001,1,90,REGIÓN DE ÑUBLE,DIGUILLÍN,PINTO,RECINTO
38613,13402011009019,1,18,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,BUIN,BUIN
39565,13501121001009,2,296,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,POMAIRE
48532,6101101002030,1,19,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,LOS QUILOS
29125,13125041002008,2,241,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,MANUEL ANTONIO MATTA
62088,7301071006052,1,77,REGIÓN DEL MAULE,CURICÓ,CURICÓ,BARROS NEGROS
89491,5109141003061,1,22,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,GLORIAS NAVALES
1485,13101061003009,2,59,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,PORTALES
99537,5701051001012,3,134,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,SAN FELIPE,ALMENDRAL
25170,13122051005002,4,183,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,VIÑA MACUL
107139,4102031002055,1,145,REGIÓN DE COQUIMBO,ELQUI,COQUIMBO,BUEN PASTOR
146482,8111031006004,2,83,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TOMÉ,EL MORRO
49932,6101151009035,2,386,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,LA FERIA
115424,3101061008014,2,30,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,CERRO
12349,13112051011022,3,114,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,LA PLATINA
82675,9211041001022,1,30,REGIÓN DE LA ARAUCANÍA,MALLECO,VICTORIA,HOSPITAL
35545,13401041001005,2,179,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,SANTA MARTA
7833,13106031003027,2,19,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ESTACIÓN CENTRAL,HERMANOS CARRERA
59555,7201051001027,1,35,REGIÓN DEL MAULE,CAUQUENES,CAUQUENES,LOS ESTANQUES
98803,5706011003027,4,169,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,SANTA MARÍA,SANTA MARÍA
110914,4301071002034,1,16,REGIÓN DE COQUIMBO,LIMARÍ,OVALLE,EL INGENIO
